2026-02-03T00:00:03.683+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-5] org.hibernate.SQL                        : select u1_0.id,u1_0.created_at,u1_0.name,u1_0.password,u1_0.role,u1_0.username from user u1_0 where u1_0.username=?
2026-02-03T00:00:03.818+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select i1_0.id,i1_0.added_stock,i1_0.created_at,i1_0.expiry_date,i1_0.initial_stock,i1_0.note,i1_0.product_id,p1_0.id,p1_0.category,p1_0.created_at,p1_0.min_quantity,p1_0.name,p1_0.note,p1_0.unit,p1_0.updated_at,i1_0.remaining_stock,i1_0.updated_at,i1_0.used_quantity,i1_0.ym from inventory i1_0 join product p1_0 on p1_0.id=i1_0.product_id where i1_0.ym=? and (? is null or p1_0.category=?) and (? is null or p1_0.name like replace(?,'\\','\\\\')) order by p1_0.category,p1_0.name
2026-02-03T00:00:03.850+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='PENDING' and year(so1_0.order_date)=? and month(so1_0.order_date)=?
2026-02-03T00:00:03.854+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='COMPLETED' and year(so1_0.received_date)=? and month(so1_0.received_date)=?
2026-02-03T00:00:03.859+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select so1_0.id,so1_0.consumed,so1_0.created_at,so1_0.expiry_date,so1_0.note,so1_0.order_date,so1_0.order_quantity,so1_0.product_id,p1_0.id,p1_0.category,p1_0.created_at,p1_0.min_quantity,p1_0.name,p1_0.note,p1_0.unit,p1_0.updated_at,so1_0.quantity,so1_0.received_date,so1_0.remaining_quantity,so1_0.status from stock_order so1_0 join product p1_0 on p1_0.id=so1_0.product_id where p1_0.id=? and so1_0.status='COMPLETED' and so1_0.expiry_date is not null order by so1_0.expiry_date
2026-02-03T00:00:03.864+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='PENDING' and year(so1_0.order_date)=? and month(so1_0.order_date)=?
2026-02-03T00:00:03.868+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='COMPLETED' and year(so1_0.received_date)=? and month(so1_0.received_date)=?
2026-02-03T00:00:03.872+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select so1_0.id,so1_0.consumed,so1_0.created_at,so1_0.expiry_date,so1_0.note,so1_0.order_date,so1_0.order_quantity,so1_0.product_id,p1_0.id,p1_0.category,p1_0.created_at,p1_0.min_quantity,p1_0.name,p1_0.note,p1_0.unit,p1_0.updated_at,so1_0.quantity,so1_0.received_date,so1_0.remaining_quantity,so1_0.status from stock_order so1_0 join product p1_0 on p1_0.id=so1_0.product_id where p1_0.id=? and so1_0.status='COMPLETED' and so1_0.expiry_date is not null order by so1_0.expiry_date
2026-02-03T00:00:03.876+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='PENDING' and year(so1_0.order_date)=? and month(so1_0.order_date)=?
2026-02-03T00:00:03.880+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='COMPLETED' and year(so1_0.received_date)=? and month(so1_0.received_date)=?
2026-02-03T00:00:03.884+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select so1_0.id,so1_0.consumed,so1_0.created_at,so1_0.expiry_date,so1_0.note,so1_0.order_date,so1_0.order_quantity,so1_0.product_id,p1_0.id,p1_0.category,p1_0.created_at,p1_0.min_quantity,p1_0.name,p1_0.note,p1_0.unit,p1_0.updated_at,so1_0.quantity,so1_0.received_date,so1_0.remaining_quantity,so1_0.status from stock_order so1_0 join product p1_0 on p1_0.id=so1_0.product_id where p1_0.id=? and so1_0.status='COMPLETED' and so1_0.expiry_date is not null order by so1_0.expiry_date
2026-02-03T00:00:03.888+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='PENDING' and year(so1_0.order_date)=? and month(so1_0.order_date)=?
2026-02-03T00:00:03.892+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='COMPLETED' and year(so1_0.received_date)=? and month(so1_0.received_date)=?
2026-02-03T00:00:03.896+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select so1_0.id,so1_0.consumed,so1_0.created_at,so1_0.expiry_date,so1_0.note,so1_0.order_date,so1_0.order_quantity,so1_0.product_id,p1_0.id,p1_0.category,p1_0.created_at,p1_0.min_quantity,p1_0.name,p1_0.note,p1_0.unit,p1_0.updated_at,so1_0.quantity,so1_0.received_date,so1_0.remaining_quantity,so1_0.status from stock_order so1_0 join product p1_0 on p1_0.id=so1_0.product_id where p1_0.id=? and so1_0.status='COMPLETED' and so1_0.expiry_date is not null order by so1_0.expiry_date
2026-02-03T00:00:03.900+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='PENDING' and year(so1_0.order_date)=? and month(so1_0.order_date)=?
2026-02-03T00:00:03.904+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='COMPLETED' and year(so1_0.received_date)=? and month(so1_0.received_date)=?
2026-02-03T00:00:03.908+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select so1_0.id,so1_0.consumed,so1_0.created_at,so1_0.expiry_date,so1_0.note,so1_0.order_date,so1_0.order_quantity,so1_0.product_id,p1_0.id,p1_0.category,p1_0.created_at,p1_0.min_quantity,p1_0.name,p1_0.note,p1_0.unit,p1_0.updated_at,so1_0.quantity,so1_0.received_date,so1_0.remaining_quantity,so1_0.status from stock_order so1_0 join product p1_0 on p1_0.id=so1_0.product_id where p1_0.id=? and so1_0.status='COMPLETED' and so1_0.expiry_date is not null order by so1_0.expiry_date
2026-02-03T00:00:03.912+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='PENDING' and year(so1_0.order_date)=? and month(so1_0.order_date)=?
2026-02-03T00:00:03.916+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='COMPLETED' and year(so1_0.received_date)=? and month(so1_0.received_date)=?
2026-02-03T00:00:03.920+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select so1_0.id,so1_0.consumed,so1_0.created_at,so1_0.expiry_date,so1_0.note,so1_0.order_date,so1_0.order_quantity,so1_0.product_id,p1_0.id,p1_0.category,p1_0.created_at,p1_0.min_quantity,p1_0.name,p1_0.note,p1_0.unit,p1_0.updated_at,so1_0.quantity,so1_0.received_date,so1_0.remaining_quantity,so1_0.status from stock_order so1_0 join product p1_0 on p1_0.id=so1_0.product_id where p1_0.id=? and so1_0.status='COMPLETED' and so1_0.expiry_date is not null order by so1_0.expiry_date
2026-02-03T00:00:03.924+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='PENDING' and year(so1_0.order_date)=? and month(so1_0.order_date)=?
2026-02-03T00:00:03.928+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='COMPLETED' and year(so1_0.received_date)=? and month(so1_0.received_date)=?
2026-02-03T00:00:03.931+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select so1_0.id,so1_0.consumed,so1_0.created_at,so1_0.expiry_date,so1_0.note,so1_0.order_date,so1_0.order_quantity,so1_0.product_id,p1_0.id,p1_0.category,p1_0.created_at,p1_0.min_quantity,p1_0.name,p1_0.note,p1_0.unit,p1_0.updated_at,so1_0.quantity,so1_0.received_date,so1_0.remaining_quantity,so1_0.status from stock_order so1_0 join product p1_0 on p1_0.id=so1_0.product_id where p1_0.id=? and so1_0.status='COMPLETED' and so1_0.expiry_date is not null order by so1_0.expiry_date
2026-02-03T00:00:03.936+09:00 DEBUG 27724 --- [demo] [http-nio-0.0.0.0-8888-exec-6] org.hibernate.SQL                        : select coalesce(sum(so1_0.quantity),0) from stock_order so1_0 where so1_0.product_id=? and so1_0.status='PENDING' and year(so1_0.order_date)=? and month(so1_0.order_date)=?
